symbol,market,period_end,asof_ts,revenue,operating_income,net_income,free_cash_flow,total_assets,total_equity,total_debt,shares_out,eps,source
AAPL,us,2017-04-01,2018-11-05T00:00:00,52896000000.0,,28920000000.0,33270000000.0,,134082000000.0,,5205815000.0,5.46,sec_edgar:companyfacts
AAPL,us,2017-07-01,2018-11-05T00:00:00,45408000000.0,,37637000000.0,39356000000.0,,132425000000.0,,5169782000.0,7.14,sec_edgar:companyfacts
AAPL,us,2017-09-30,2018-11-05T00:00:00,229234000000.0,,48351000000.0,51147000000.0,,134047000000.0,,5126201000.0,9.21,sec_edgar:companyfacts
AAPL,us,2017-12-30,2018-11-05T00:00:00,88293000000.0,,20065000000.0,25483000000.0,,140199000000.0,,5081651000.0,3.89,sec_edgar:companyfacts
AAPL,us,2018-03-31,2018-11-05T00:00:00,61137000000.0,,33887000000.0,36418000000.0,,126878000000.0,,4943282000.0,6.63,sec_edgar:companyfacts
AAPL,us,2018-06-30,2018-11-05T00:00:00,53265000000.0,,45406000000.0,47639000000.0,,114949000000.0,,4842917000.0,8.99,sec_edgar:companyfacts
AAPL,us,2018-09-29,2018-11-05T00:00:00,265595000000.0,,59531000000.0,64121000000.0,,107147000000.0,,4754986000.0,11.91,sec_edgar:companyfacts
AAPL,us,2018-12-29,2019-01-30T00:00:00,,,19965000000.0,23335000000.0,,117892000000.0,,4729803000.0,4.18,sec_edgar:companyfacts
AAPL,us,2019-03-30,2019-05-01T00:00:00,,,31526000000.0,32127000000.0,,105860000000.0,,4607284000.0,6.66,sec_edgar:companyfacts
AAPL,us,2019-06-29,2019-07-31T00:00:00,,,41570000000.0,41763000000.0,,96456000000.0,,4531395000.0,8.86,sec_edgar:companyfacts
AAPL,us,2019-09-28,2019-10-31T00:00:00,,,55256000000.0,58896000000.0,,90488000000.0,,4443236000.0,11.89,sec_edgar:companyfacts
AAPL,us,2019-12-28,2020-01-29T00:00:00,,,22236000000.0,28409000000.0,,89531000000.0,,4384959000.0,4.99,sec_edgar:companyfacts
AAPL,us,2020-03-28,2020-05-01T00:00:00,,,33485000000.0,39867000000.0,,78425000000.0,,4323987000.0,7.56,sec_edgar:companyfacts
AAPL,us,2020-06-27,2020-07-31T00:00:00,,,44738000000.0,54573000000.0,,72282000000.0,,4283939000.0,10.16,sec_edgar:companyfacts
AAPL,us,2020-09-26,2020-10-30T00:00:00,,,57411000000.0,73365000000.0,,65339000000.0,,16976763000.0,3.28,sec_edgar:companyfacts
AAPL,us,2020-12-26,2021-01-28T00:00:00,,,28755000000.0,35263000000.0,,66224000000.0,,16823263000.0,1.68,sec_edgar:companyfacts
AAPL,us,2021-03-27,2021-04-29T00:00:00,,,52385000000.0,56975000000.0,,69178000000.0,,16686305000.0,3.08,sec_edgar:companyfacts
AAPL,us,2021-06-26,2021-07-28T00:00:00,,,74129000000.0,75976000000.0,,64280000000.0,,16556942000.0,4.38,sec_edgar:companyfacts
AAPL,us,2021-09-25,2021-10-29T00:00:00,,,94680000000.0,92953000000.0,,63090000000.0,118700000000.0,16426786000.0,5.61,sec_edgar:companyfacts
AAPL,us,2021-12-25,2022-01-28T00:00:00,,,34630000000.0,44163000000.0,,71932000000.0,117800000000.0,16340851000.0,2.1,sec_edgar:companyfacts
AAPL,us,2022-03-26,2022-04-29T00:00:00,,,59640000000.0,69815000000.0,,67399000000.0,113000000000.0,16207568000.0,3.62,sec_edgar:companyfacts
AAPL,us,2022-06-25,2022-07-29T00:00:00,,,79082000000.0,90605000000.0,,58107000000.0,108700000000.0,16095378000.0,4.82,sec_edgar:companyfacts
AAPL,us,2022-09-24,2022-10-28T00:00:00,,,99803000000.0,111443000000.0,,50672000000.0,110100000000.0,15943425000.0,6.11,sec_edgar:companyfacts
AAPL,us,2022-12-31,2023-02-03T00:00:00,,,29998000000.0,30218000000.0,,56727000000.0,109400000000.0,15842407000.0,1.88,sec_edgar:companyfacts
AAPL,us,2023-04-01,2023-05-05T00:00:00,,,54158000000.0,55862000000.0,,62158000000.0,107600000000.0,15723406000.0,3.41,sec_edgar:companyfacts
AAPL,us,2023-07-01,2023-08-04T00:00:00,,,74039000000.0,80149000000.0,,60274000000.0,105300000000.0,15647868000.0,4.67,sec_edgar:companyfacts
AAPL,us,2023-09-30,2023-11-03T00:00:00,,,96995000000.0,99584000000.0,,62146000000.0,105103000000.0,15550061000.0,6.13,sec_edgar:companyfacts
