symbol,date,close
SPY,2010-01-04,84.79640197753906
SPY,2010-01-05,85.02084350585938
SPY,2010-01-06,85.0807113647461
SPY,2010-01-07,85.43985748291016
SPY,2010-01-08,85.72416687011719
SPY,2010-01-11,85.84388732910156
SPY,2010-01-12,85.04328918457031
SPY,2010-01-13,85.7615966796875
SPY,2010-01-14,85.99353790283203
SPY,2010-01-15,85.02835083007812
SPY,2010-01-19,86.0907974243164
SPY,2010-01-20,85.21538543701172
SPY,2010-01-21,83.57674407958984
SPY,2010-01-22,81.71369171142578
SPY,2010-01-25,82.13270568847656
SPY,2010-01-26,81.78848266601562
SPY,2010-01-27,82.17759704589844
SPY,2010-01-28,81.23482513427734
SPY,2010-01-29,80.35191345214844
SPY,2010-02-01,81.60143280029297
SPY,2010-02-02,82.58910369873047
SPY,2010-02-03,82.17759704589844
SPY,2010-02-04,79.64112854003906
SPY,2010-02-05,79.80571746826172
SPY,2010-02-08,79.22956848144531
SPY,2010-02-09,80.2247314453125
SPY,2010-02-10,80.06756591796875
SPY,2010-02-11,80.90557861328125
SPY,2010-02-12,80.83824920654297
SPY,2010-02-16,82.1102294921875
SPY,2010-02-17,82.49930572509766
SPY,2010-02-18,82.98568725585938
SPY,2010-02-19,83.15775299072266
SPY,2010-02-22,83.17273712158203
SPY,2010-02-23,82.1626205444336
SPY,2010-02-24,82.9183349609375
SPY,2010-02-25,82.80607604980469
SPY,2010-02-26,82.85848999023438
SPY,2010-03-01,83.71891784667969
SPY,2010-03-02,83.95085144042969
SPY,2010-03-03,84.02568054199219
SPY,2010-03-04,84.28008270263672
SPY,2010-03-05,85.4847640991211
SPY,2010-03-08,85.49974060058594
SPY,2010-03-09,85.64186096191406
SPY,2010-03-10,86.0234603881836
SPY,2010-03-11,86.38261413574219
SPY,2010-03-12,86.39010620117188
SPY,2010-03-15,86.41255950927734
SPY,2010-03-16,87.10088348388672
SPY,2010-03-17,87.61717987060547
SPY,2010-03-18,87.57231140136719
SPY,2010-03-19,87.12903594970703
SPY,2010-03-22,87.59483337402344
SPY,2010-03-23,88.21087646484375
SPY,2010-03-24,87.78265380859375
SPY,2010-03-25,87.63990020751953
SPY,2010-03-26,87.58731842041016
SPY,2010-03-29,88.14326477050781
SPY,2010-03-30,88.203369140625
SPY,2010-03-31,87.90288543701172
SPY,2010-04-01,88.5039291381836
SPY,2010-04-05,89.22518157958984
SPY,2010-04-06,89.43553924560547
SPY,2010-04-07,88.9246597290039
SPY,2010-04-08,89.23271179199219
SPY,2010-04-09,89.8187026977539
SPY,2010-04-12,89.9614486694336
SPY,2010-04-13,90.02904510498047
SPY,2010-04-14,91.05084991455078
SPY,2010-04-15,91.1259994506836
SPY,2010-04-16,89.67597198486328
